A,,,,,2,3,,,,,,,,,,,,,,,,1,,
A,,,,4,,,,,,,,,,1,,,,1,,,,,,
A,,,,,,,,,,,,,,,,,,,,,2,,,
A,,,,,4,4,,,,,,1,,,,,,,,,,,,
A,,,,2,,1,3,1,,,,,,,,2,,,,4,1,,,
A,,,,,,,4,,3,,,,,,,,,,,,3,2,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,4,,,,,1,,,,,,,,,,,3
A,,,,,,,,,,,,,4,,,,,,,,,,,
A,1,,,,,,,,,,,,,,,1,,,,,,,,
A,,,,,,,,,,,,,,,,4,,,,,,,,
A,4,,,,,,,,4,,,,,,,,,,,,,4,,
A,,,,,,,,,1,,,,,,,,,,,,,,,
A,,3,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,4,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,4,,,,,,,,1,,,2,,,,2,2,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,2,,,,,3,,,,,,,,,
A,,,,,,,,,,1,,,,,,3,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,4,
A,3,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,4,,,,,,,,2,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,4
A,,,,,1,,,,,,,,3,4,,,,,,,4,,,
A,,,,,3,2,,3,,,,,2,,,,,,,3,,3,,
A,,,,,,,,,,,,,,,,,,,,,,,1,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,3,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,2,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,2,,,,,,,,,,,,,,,,3,
A,,,3,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,4,,,,4,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,2,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,3,,,,,,,,,,,1,,,,,,,,,
A,,,1,,,,,,,,,,,,,,,,,,,,,
A,,2,,,,,,,2,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,2,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,2,,,,,,,2,,4,2,,,,,,,3,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,3,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,3,,,,,,1,,,,,,,
A,,1,,,,,,,,,,,,,,,,,1,,,,,
A,,,2,,,,,,,,,3,,,,,,,,,,,,1
A,,,,,,,,,,,,,,,,,,4,,,,,,
A,,,,,,,,,,,,2,,,,,,,,1,,,,2
A,,4,,1,,,,,,,,,,,,,4,,,,,,,
A,,,,,,,,,,3,,,,3,,,,,,,,,,
A,,,,,,,1,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
